# ==== 封面与目录 (TOC) 段落映射 ====
# 格式: TOC<tab>段落号<tab>英文原文<tab>中文替换
# 替换顺序按文件内顺序执行（同一段落的多个替换按先后生效）
# 注意：old/new 中不可包含 TAB 字符；"-" 为连字符或减号按原文逐字匹配。

# 封面标题
TOC	1	METEODYN UNIVERSE	Meteodyn Universe
TOC	1	MICROSCALE ADVANCED NOTES	微尺度高级技术注释
# 目录标题
TOC	5	Table of contents	目录
# 单位与缩写
TOC	6	Units and abbreviations	单位与缩写
TOC	6	Units	单位
TOC	7	Abbreviations	缩写
# 技术注释
TOC	8	Technical notes	技术注释
# 1.1 风流动方程
TOC	9	The wind flow equations	风流动方程
TOC	9	Turbulence modelling for strong stability – 3-Layer Model	强稳定度湍流建模——三层模型
TOC	9	Reynolds-Averaged Navier-Stokes equations	雷诺平均纳维–斯托克斯方程
TOC	9	Turbulence modelling	湍流建模
# 1.2 中尺度/微尺度耦合
TOC	10	Mesoscale/Microscale coupling	中尺度/微尺度耦合
# 1.3 CFD 高级设置
TOC	11	CFD advanced settings	CFD 高级设置
TOC	11	Mesh parameters	网格参数
TOC	11	Solver Parameters	求解器参数
TOC	11	Drag coefficient parameters	阻力系数参数
# 1.4 自动收敛
TOC	12	Auto-convergence	自动收敛
# 1.5 网格生成
TOC	13	Mesh generation	网格生成
TOC	13	Surface grid generation	表面网格生成
TOC	13	Volume grid generation	体积网格生成
TOC	13	Boundary smoothing	边界平滑
# 1.6 边界条件
TOC	14	Boundary conditions	边界条件
TOC	14	Inlet boundary conditions - Thermal stability classes 0 to 6	入口边界条件——热稳定度等级 0 至 6
TOC	14	Inlet boundary conditions - Thermal stability classes 7 to 9	入口边界条件——热稳定度等级 7 至 9
TOC	14	Ground boundary conditions	地面边界条件
TOC	14	Lateral boundary conditions	侧向边界条件
TOC	14	Top boundary condition	顶部边界条件
TOC	14	Outlet boundary condition	出口边界条件
# 1.7 森林模型
TOC	15	The forest model	森林模型
TOC	15	Canopy height vs roughness length	冠层高度与粗糙度长度
TOC	15	The surface cells	表面单元
TOC	15	The volume mesh	体积网格
# 1.8 激光雷达校正
TOC	16	The Lidar correction	激光雷达校正
TOC	16	Zx Lidar	Zx 激光雷达
TOC	16	Windcube Lidar	Windcube 激光雷达
TOC	16	Molas Lidar	Molas 激光雷达
TOC	16	Correcting measurements	测量数据校正
# 1.9 计算域
TOC	17	Meteodyn WT domains	Meteodyn WT 计算域
# 1.10 热稳定度等级
TOC	20	Thermal stability classes	热稳定度等级
TOC	21	Obtaining Meteodyn WT classes from site measurements	由场址测量数据获取 Meteodyn WT 稳定度等级
TOC	21	Implementation in Meteodyn WT	在 Meteodyn WT 中的实现
# 1.11 由时间序列计算空气密度
TOC	23	Compute air density from Time series	由时间序列计算空气密度
TOC	24	Density available at another height	在另一高度已有密度值
TOC	24	Temperature and Pressure available at the same height	在相同高度上有温度和压力值
TOC	24	Temperature and Pressure available at different height	在不同高度上有温度和压力值
# 1.12 功率曲线修正
TOC	27	Power Curve correction	功率曲线修正
# 1.13 尾流效应计算
TOC	28	Wake effect computation	尾流效应计算
TOC	29	The modified PARK model	修正 PARK 模型
TOC	29	The Eddy Viscosity Model	涡黏性模型
TOC	29	Added turbulence models: The Frandsen model (2007)	附加湍流模型：（Frandsen, 2007）模型
TOC	29	Added turbulence models: The simplified Frandsen model (2003)	附加湍流模型：简化（Frandsen, 2003）模型
TOC	29	Added turbulence models: The Quarton model	附加湍流模型：Quarton 模型
TOC	29	Wake effect combination	尾流效应组合
TOC	29	Added turbulence coverage models	附加湍流覆盖模型
TOC	29	Wake model comparisons	尾流模型比较
TOC	29	Large park wake model	大型风场尾流模型
# 1.14 威布尔拟合
TOC	38	Weibull fitting of the wind speed distribution	风速分布的威布尔拟合
# 1.15 湍流强度与湍流修正
TOC	39	Turbulence intensity and turbulence correction	湍流强度与湍流修正
TOC	40	Turbulence intensities	湍流强度
TOC	40	Turbulence corrections	湍流修正
# 1.16 极端风速计算
TOC	42	Extreme wind speed computations	极端风速计算
TOC	43	Speed-up factor and gust coefficient	加速因子与阵风系数
TOC	43	Computation based on the regional extreme wind	基于区域极端风速的计算
TOC	43	Computations based on the extreme wind at the measurement point	基于测量点极端风速的计算
# 1.17 场址校准
TOC	46	Site calibration	场址校准
TOC	47	Roughness calibration	粗糙度校准
TOC	47	Stability calibration	稳定度校准
# 1.18 结果定义
TOC	49	Definitions	结果定义
TOC	50	Directional results	方向性结果
TOC	50	Synthesis results	综合结果
TOC	52	IEC results – IEC 61400-1 Edition 4 – Design parameters	IEC 结果——IEC 61400-1 第 4 版——设计参数
TOC	53	IEC results – IEC 61400-1 Edition 3 – Design parameters	IEC 结果——IEC 61400-1 第 3 版——设计参数
TOC	54	IEC results – IEC 61400-1 Edition 2	IEC 结果——IEC 61400-1 第 2 版
TOC	55	Losses evaluation	损失评估
TOC	56	Uncertainties evaluation	不确定度评估
# 1.19 数据格式
TOC	57	Formats	数据格式
TOC	60	Topographical data (orography + roughness)	地形数据（地形 + 粗糙度）
TOC	60	Orographical data	地形数据
TOC	60	Roughness data	粗糙度数据
TOC	60	Element data	障碍物（元素）数据
TOC	60	Climatology data	气候数据
TOC	60	Wind turbine data	风电机组数据
TOC	60	Lidar correction data	激光雷达校正数据
TOC	60	WRG/RSF exports	WRG/RSF 导出
# 参考文献
TOC	68	References	参考文献
